experiment,background,x,s,tail_count,fitted_tail_count,requested_x_max
GHI,R,0.15231916192382952,-0.15231916192382952,17,18.34865300628055,0.2
GHI,R,0.15699877313755697,-0.15699877313755697,17,17.70579982819549,0.2
GHI,R,0.16182215326935795,-0.16182215326935795,17,17.08546929569277,0.2
GHI,R,0.1667937192463786,-0.1667937192463786,17,16.48687231791726,0.2
GHI,R,0.17191802369439674,-0.17191802369439674,16,15.909247450161129,0.2
GHI,R,0.17719975910680974,-0.17719975910680974,16,15.351859925268865,0.2
GHI,R,0.18264376214170497,-0.18264376214170497,15,14.814000718977377,0.2
GHI,R,0.18825501805094585,-0.18825501805094585,15,14.29498564800244,0.2
GHI,R,0.19403866524532978,-0.19403866524532978,14,13.794154499723971,0.2
GHI,R,0.2,-0.2,14,13.310870192363158,0.2
GHI,S,0.01,-0.01,331,405.2894136675318,0.15
GHI,S,0.010277315989582517,-0.010277315989582517,317,389.8118659895279,0.15
GHI,S,0.01056232239497285,-0.01056232239497285,304,374.9253884802631,0.15
GHI,S,0.010855232483697998,-0.010855232483697998,296,360.6074088336052,0.15
GHI,S,0.011156265437534502,-0.011156265437534502,288,346.8362167544499,0.15
GHI,S,0.011465646516520012,-0.011465646516520012,278,333.5909310394883,0.15
GHI,S,0.011783607227513227,-0.011783607227513227,270,320.8514679151218,0.15
GHI,S,0.012110385497428178,-0.012110385497428178,263,308.59851058451716,0.15
GHI,S,0.01244622585127269,-0.01244622585127269,253,296.81347993762444,0.15
